time,open,high,low,close,tick_volume,spread,real_volume
2025-06-25 21:10:00,145.368,145.369,145.326,145.332,304,0,0
2025-06-25 21:20:00,145.332,145.337,145.278,145.288,348,0,0
2025-06-25 21:30:00,145.284,145.286,145.226,145.245,553,0,0
2025-06-25 21:40:00,145.243,145.252,145.147,145.163,569,0,0
2025-06-25 21:50:00,145.163,145.195,145.149,145.151,469,0,0
2025-06-25 22:00:00,145.152,145.172,145.103,145.162,435,0,0
2025-06-25 22:10:00,145.162,145.178,145.129,145.157,292,1,0
2025-06-25 22:20:00,145.157,145.171,145.127,145.133,247,0,0
2025-06-25 22:30:00,145.134,145.19,145.132,145.178,299,0,0
2025-06-25 22:40:00,145.178,145.186,145.152,145.185,244,2,0
2025-06-25 22:50:00,145.185,145.246,145.178,145.243,344,0,0
2025-06-25 23:00:00,145.243,145.25,145.194,145.237,306,0,0
2025-06-25 23:10:00,145.242,145.299,145.242,145.297,187,0,0
2025-06-25 23:20:00,145.297,145.31,145.282,145.307,165,0,0
2025-06-25 23:30:00,145.306,145.333,145.301,145.332,126,0,0
2025-06-25 23:40:00,145.332,145.332,145.274,145.297,357,0,0
2025-06-25 23:50:00,145.297,145.301,145.172,145.172,577,2,0
2025-06-26 00:00:00,145.172,145.172,145.075,145.158,18,93,0
2025-06-26 00:10:00,145.158,145.24,145.131,145.201,37,43,0
2025-06-26 00:20:00,145.201,145.201,145.13,145.16,32,53,0
2025-06-26 00:30:00,145.16,145.196,145.159,145.17,57,48,0
2025-06-26 00:40:00,145.17,145.195,145.169,145.17,25,52,0
2025-06-26 00:50:00,145.17,145.17,145.1,145.147,260,56,0
2025-06-26 01:00:00,145.147,145.24,145.141,145.234,368,7,0
2025-06-26 01:10:00,145.234,145.236,145.208,145.221,120,5,0
2025-06-26 01:20:00,145.22,145.232,145.179,145.223,220,0,0
2025-06-26 01:30:00,145.224,145.264,145.195,145.219,167,0,0
2025-06-26 01:40:00,145.219,145.241,145.199,145.223,120,0,0
2025-06-26 01:50:00,145.224,145.233,145.222,145.227,96,6,0
2025-06-26 02:00:00,145.227,145.227,145.028,145.054,758,0,0
2025-06-26 02:10:00,145.052,145.073,144.977,145.027,587,0,0
2025-06-26 02:20:00,145.027,145.027,144.982,145.012,331,0,0
2025-06-26 02:30:00,145.011,145.022,144.941,144.962,320,0,0
2025-06-26 02:40:00,144.962,144.985,144.936,144.95,438,1,0
2025-06-26 02:50:00,144.948,144.975,144.874,144.912,627,0,0
2025-06-26 03:00:00,144.912,144.945,144.8,144.866,886,0,0
2025-06-26 03:10:00,144.866,144.94,144.854,144.891,765,0,0
2025-06-26 03:20:00,144.891,144.896,144.793,144.797,561,0,0
2025-06-26 03:30:00,144.799,144.847,144.761,144.782,540,0,0
2025-06-26 03:40:00,144.781,144.784,144.739,144.74,440,0,0
2025-06-26 03:50:00,144.74,144.807,144.679,144.69,1101,0,0
2025-06-26 04:00:00,144.688,144.759,144.671,144.728,634,0,0
2025-06-26 04:10:00,144.729,144.797,144.701,144.79,674,0,0
2025-06-26 04:20:00,144.79,144.929,144.779,144.839,914,0,0
2025-06-26 04:30:00,144.839,144.921,144.825,144.886,520,0,0
2025-06-26 04:40:00,144.886,144.886,144.73,144.772,688,0,0
2025-06-26 04:50:00,144.773,144.783,144.722,144.722,477,0,0
2025-06-26 05:00:00,144.706,144.752,144.661,144.74,572,0,0
2025-06-26 05:10:00,144.741,144.781,144.726,144.768,347,0,0
